date,description,amount,payment_mode,category
2026-06-26,NETFLIX *9792,479,Card,Entertainment
2026-02-08,PVR CINEMAS *1529,650,UPI,Entertainment
2026-05-11,JIO RECHARGE *4839,509,UPI,Bills
2026-08-26,SWIGGY ORDER *2464,450,UPI,Food
2025-12-01,BOOKMYSHOW *8898,503,Card,Entertainment
2025-10-22,SPOTIFY *4799,717,UPI,Entertainment
2026-03-07,RELIANCE TRENDS *2145,4594,NetBanking,Shopping
2026-03-27,JIO RECHARGE *8135,1159,NetBanking,Bills
2026-08-31,METRO RECHARGE *4932,2169,Card,Travel
2026-07-26,GAS BILL *1956,2996,NetBanking,Bills
2026-07-27,UBER TRIP *9075,5761,UPI,Travel
2026-03-17,FLIPKART *2074,2114,UPI,Shopping
2026-01-06,SWIGGY ORDER *6239,352,NetBanking,Food
2026-01-04,PVR CINEMAS *7452,873,UPI,Entertainment
2026-09-10,AIRTEL BROADBAND *3535,2082,UPI,Bills
2025-12-21,RELIANCE TRENDS *1844,646,Card,Shopping
2026-05-01,NETFLIX *7401,628,NetBanking,Entertainment
2025-11-08,NETFLIX *3007,899,NetBanking,Entertainment
2026-07-21,FLIPKART *7294,4603,Card,Shopping
2026-03-28,NETFLIX *7362,887,UPI,Entertainment
2026-08-02,IRCTC TICKET *3309,5986,UPI,Travel
2026-07-05,GAS BILL *4475,1814,Card,Bills
2026-04-02,AIRTEL BROADBAND *5218,550,NetBanking,Bills
2025-10-05,IRCTC TICKET *2015,1864,Card,Travel
2026-02-11,INDIGO AIRLINES *4096,3296,UPI,Travel
2026-01-26,SWIGGY ORDER *2673,624,NetBanking,Food
2026-08-16,SPOTIFY *4056,891,Card,Entertainment
2025-11-18,LIC PREMIUM *5422,1942,UPI,Bills
2026-07-16,AIRTEL BROADBAND *3384,959,Card,Bills
2026-05-04,AMAZON PAY *4998,872,NetBanking,Shopping
2026-08-21,SWIGGY ORDER *7158,746,NetBanking,Food
2025-10-01,DMART *8234,2532,UPI,Shopping
2026-04-29,IRCTC TICKET *9695,3229,NetBanking,Travel
2026-02-13,CHAI POINT *1249,373,UPI,Food
2026-07-31,UBER TRIP *5548,3148,NetBanking,Travel
2026-07-09,JIO RECHARGE *5861,2292,UPI,Bills
2025-12-31,GAS BILL *6311,864,UPI,Bills
2026-09-05,JIO RECHARGE *9320,587,NetBanking,Bills
2026-04-19,IRCTC TICKET *3587,3104,NetBanking,Travel
2026-07-07,INDIGO AIRLINES *9809,2205,UPI,Travel
2026-08-06,IRCTC TICKET *7376,1840,UPI,Travel
2026-03-28,DOMINOS PIZZA *3259,293,UPI,Food
2026-09-09,UBER TRIP *2058,2789,UPI,Travel
2026-04-22,LIC PREMIUM *7617,2629,UPI,Bills
2025-10-19,STARBUCKS *3759,791,NetBanking,Food
2026-08-16,OLA CABS *1276,2039,Card,Travel
2025-11-17,INDIGO AIRLINES *8764,5187,Card,Travel
2025-12-19,TORRENT POWER *6580,1109,Card,Bills
2026-08-17,NETFLIX *2428,381,Card,Entertainment
2026-06-04,BOOKMYSHOW *9711,239,Card,Entertainment
2026-09-14,MYNTRA *1442,4875,Card,Shopping
2025-10-05,PVR CINEMAS *9848,711,Card,Entertainment
2026-08-23,RELIANCE TRENDS *5076,1293,UPI,Shopping
2025-11-27,AMAZON PAY *2515,774,NetBanking,Shopping
2025-12-31,METRO RECHARGE *1446,148,UPI,Travel
2026-08-22,JIO RECHARGE *6463,378,Card,Bills
2026-04-06,SPOTIFY *3758,627,Card,Entertainment
2026-03-17,RELIANCE TRENDS *9065,4080,UPI,Shopping
2025-12-01,UBER TRIP *5334,4330,Card,Travel
2026-05-03,MYNTRA *9159,2273,NetBanking,Shopping
2026-04-30,ZOMATO *9699,75,Card,Food
2026-05-01,STARBUCKS *9433,552,UPI,Food
2026-04-15,INDIGO AIRLINES *7875,4471,UPI,Travel
2025-10-18,STARBUCKS *6189,397,NetBanking,Food
2026-07-09,UBER TRIP *6756,4454,NetBanking,Travel
2026-04-06,AMAZON PAY *5798,2555,NetBanking,Shopping
2026-02-21,AIRTEL BROADBAND *5980,545,UPI,Bills
2026-04-10,RELIANCE TRENDS *3052,3508,UPI,Shopping
2026-03-13,NETFLIX *8062,401,NetBanking,Entertainment
2026-02-20,OLA CABS *4041,145,NetBanking,Travel
2026-01-11,MYNTRA *8850,1704,Card,Shopping
2026-08-14,AIRTEL BROADBAND *4735,1310,NetBanking,Bills
2025-11-14,JIO RECHARGE *9060,1264,Card,Bills
2026-08-29,INDIGO AIRLINES *6249,1356,UPI,Travel
2026-08-06,UBER TRIP *4175,4321,Card,Travel
2025-11-18,DOMINOS PIZZA *8413,348,Card,Food
2026-06-05,INDIGO AIRLINES *2701,1326,UPI,Travel
2026-03-05,FLIPKART *6588,3320,NetBanking,Shopping
2026-06-28,FLIPKART *8569,2430,UPI,Shopping
2026-09-02,OLA CABS *4988,296,UPI,Travel
2026-08-09,TORRENT POWER *5780,169,UPI,Bills
2026-05-31,CHAI POINT *3702,100,NetBanking,Food
2026-02-25,IRCTC TICKET *6591,3766,NetBanking,Travel
2026-07-10,FLIPKART *3402,864,NetBanking,Shopping
2026-01-25,MYNTRA *9458,2045,UPI,Shopping
2026-06-25,STARBUCKS *4312,72,NetBanking,Food
2026-07-06,FLIPKART *4381,3080,Card,Shopping
2026-03-23,DOMINOS PIZZA *4741,490,NetBanking,Food
2026-04-27,IRCTC TICKET *6302,5594,NetBanking,Travel
2026-06-09,DOMINOS PIZZA *8374,269,NetBanking,Food
2025-11-16,BOOKMYSHOW *1260,315,UPI,Entertainment
2026-02-28,LIC PREMIUM *1178,2394,NetBanking,Bills
2026-04-02,OLA CABS *6911,1385,UPI,Travel
2025-10-12,AMAZON PAY *8183,774,UPI,Shopping
2026-03-31,AMAZON PAY *4009,4951,Card,Shopping
2026-03-30,JIO RECHARGE *6688,796,UPI,Bills
2026-01-12,IRCTC TICKET *2963,5193,Card,Travel
2025-10-21,AMAZON PAY *8718,1325,Card,Shopping
2026-07-22,SPOTIFY *5284,524,UPI,Entertainment
2026-05-14,AMAZON PAY *3783,3844,Card,Shopping
2025-11-05,JIO RECHARGE *7868,1581,Card,Bills
2026-06-30,METRO RECHARGE *8503,5347,NetBanking,Travel
2026-05-06,NETFLIX *1815,783,NetBanking,Entertainment
2026-01-05,MYNTRA *4675,3254,Card,Shopping
2026-03-16,GAS BILL *4539,864,UPI,Bills
2026-08-09,FLIPKART *2141,1835,UPI,Shopping
2025-10-01,SWIGGY ORDER *3313,550,Card,Food
2026-03-12,HOTSTAR *7204,536,UPI,Entertainment
2026-09-18,INDIGO AIRLINES *2091,1236,NetBanking,Travel
2026-02-22,LIC PREMIUM *4057,2234,UPI,Bills
2025-10-07,PVR CINEMAS *7571,215,NetBanking,Entertainment
2026-06-01,JIO RECHARGE *3949,315,Card,Bills
2026-05-23,HOTSTAR *4607,621,UPI,Entertainment
2026-04-14,BOOKMYSHOW *9737,662,Card,Entertainment
2026-01-19,BOOKMYSHOW *2784,537,NetBanking,Entertainment
2025-10-20,DOMINOS PIZZA *1968,189,UPI,Food
2025-10-29,AMAZON PAY *2782,3720,UPI,Shopping
2025-11-09,SWIGGY ORDER *4957,395,UPI,Food
2026-03-24,CHAI POINT *3230,251,UPI,Food
2026-05-03,BOOKMYSHOW *1990,887,Card,Entertainment
2025-11-02,LIC PREMIUM *8813,2276,NetBanking,Bills
2025-10-12,FLIPKART *7046,4245,Card,Shopping
2025-12-29,DOMINOS PIZZA *8659,258,Card,Food
2025-12-24,LIC PREMIUM *8239,2764,UPI,Bills
2026-09-07,PVR CINEMAS *9324,541,UPI,Entertainment
2026-02-05,GAS BILL *6724,1985,UPI,Bills
2026-05-17,DOMINOS PIZZA *4157,633,UPI,Food
2026-08-19,DOMINOS PIZZA *4281,674,UPI,Food
2025-12-11,AIRTEL BROADBAND *6179,2627,UPI,Bills
2026-02-27,BOOKMYSHOW *3422,668,NetBanking,Entertainment
2026-05-30,AMAZON PAY *4536,4002,Card,Shopping
2026-09-13,SPOTIFY *2831,644,NetBanking,Entertainment
2026-09-17,SWIGGY ORDER *5195,118,Card,Food
2026-02-05,AIRTEL BROADBAND *5555,1104,NetBanking,Bills
2026-08-28,BOOKMYSHOW *4432,355,UPI,Entertainment
2026-09-09,INDIGO AIRLINES *2007,5485,NetBanking,Travel
2026-07-16,PVR CINEMAS *6608,590,Card,Entertainment
2025-11-03,DOMINOS PIZZA *1028,765,UPI,Food
2025-10-17,FLIPKART *2115,4778,NetBanking,Shopping
2025-10-11,CHAI POINT *8787,85,UPI,Food
2025-12-17,UBER TRIP *6490,3097,Card,Travel
2025-10-18,JIO RECHARGE *3196,2858,Card,Bills
2025-11-28,HOTSTAR *7980,259,UPI,Entertainment
2026-03-25,ZOMATO *5491,667,UPI,Food
2026-07-26,TORRENT POWER *4238,1886,Card,Bills
2026-02-15,LIC PREMIUM *3097,1944,UPI,Bills
2026-05-12,DOMINOS PIZZA *8876,713,Card,Food
2025-12-27,SPOTIFY *3176,439,NetBanking,Entertainment
2026-08-09,IRCTC TICKET *1364,1840,NetBanking,Travel
2026-09-14,TORRENT POWER *1832,462,NetBanking,Bills
2026-09-03,TORRENT POWER *7781,427,Card,Bills
2026-01-16,METRO RECHARGE *8982,3106,UPI,Travel
2026-07-07,JIO RECHARGE *1071,2718,Card,Bills
2026-07-05,AIRTEL BROADBAND *6682,1836,NetBanking,Bills
2026-03-24,RELIANCE TRENDS *7116,2412,UPI,Shopping
2026-08-12,NETFLIX *7041,329,NetBanking,Entertainment
2026-03-21,SPOTIFY *9154,645,UPI,Entertainment
2026-09-23,NETFLIX *1506,657,UPI,Entertainment
2026-09-13,AIRTEL BROADBAND *7780,2624,NetBanking,Bills
2026-02-12,CHAI POINT *9392,92,NetBanking,Food
2025-12-28,FLIPKART *4731,651,NetBanking,Shopping
2026-03-21,INDIGO AIRLINES *9465,2346,NetBanking,Travel
2026-04-27,BOOKMYSHOW *6330,802,UPI,Entertainment
2026-05-23,INDIGO AIRLINES *9504,4673,UPI,Travel
2026-02-22,SPOTIFY *3956,749,Card,Entertainment
2026-04-10,STARBUCKS *2517,718,NetBanking,Food
2026-04-04,DMART *2879,4308,NetBanking,Shopping
2026-03-03,FLIPKART *1619,1082,UPI,Shopping
2026-03-18,OLA CABS *6009,1597,Card,Travel
2026-04-22,FLIPKART *7574,4133,Card,Shopping
2026-02-13,SPOTIFY *8171,765,Card,Entertainment
2026-02-07,SPOTIFY *4083,179,Card,Entertainment
2026-06-30,PVR CINEMAS *3563,319,Card,Entertainment
2025-11-15,GAS BILL *5651,427,UPI,Bills
2026-05-24,TORRENT POWER *5652,2846,Card,Bills
2026-07-18,UBER TRIP *9399,5673,Card,Travel
2026-03-13,NETFLIX *9286,880,UPI,Entertainment
2026-07-13,LIC PREMIUM *1779,1588,Card,Bills
2026-02-16,RELIANCE TRENDS *4345,2686,Card,Shopping
2026-07-09,PVR CINEMAS *7305,449,Card,Entertainment
2026-04-13,RELIANCE TRENDS *1011,394,Card,Shopping
2026-03-07,SWIGGY ORDER *1436,592,NetBanking,Food
2026-06-03,LIC PREMIUM *7538,1660,UPI,Bills
2025-10-26,IRCTC TICKET *1298,963,UPI,Travel
2026-08-19,STARBUCKS *8669,452,Card,Food
2026-09-05,METRO RECHARGE *9252,5615,NetBanking,Travel
2026-09-03,PVR CINEMAS *8162,502,NetBanking,Entertainment
2026-02-25,CHAI POINT *3010,458,Card,Food
2025-11-26,OLA CABS *1722,819,Card,Travel
2026-03-10,GAS BILL *9905,1085,Card,Bills
2026-02-15,AIRTEL BROADBAND *2100,2706,UPI,Bills
2025-11-10,HOTSTAR *3365,600,UPI,Entertainment
2026-05-20,PVR CINEMAS *8843,171,UPI,Entertainment
2026-06-04,ZOMATO *9313,332,Card,Food
2025-10-14,JIO RECHARGE *4489,2784,NetBanking,Bills
2026-03-14,UBER TRIP *6546,3482,NetBanking,Travel
2026-09-01,ZOMATO *8416,557,UPI,Food
2025-11-12,DOMINOS PIZZA *1206,355,Card,Food
2026-04-24,FLIPKART *5369,4980,UPI,Shopping
2026-01-13,METRO RECHARGE *1201,2537,NetBanking,Travel
2026-04-30,SWIGGY ORDER *3779,617,NetBanking,Food
2025-12-08,LIC PREMIUM *3824,2455,Card,Bills
2026-05-05,CHAI POINT *8094,864,NetBanking,Food
2025-11-03,INDIGO AIRLINES *9536,84,Card,Travel
2026-04-29,HOTSTAR *2689,391,NetBanking,Entertainment
2025-12-20,LIC PREMIUM *6233,1474,Card,Bills
2026-04-10,RELIANCE TRENDS *3523,2839,NetBanking,Shopping
2025-10-08,ZOMATO *7458,768,Card,Food
2026-09-18,BOOKMYSHOW *6801,394,UPI,Entertainment
2026-05-25,JIO RECHARGE *2065,2286,Card,Bills
2026-01-30,BOOKMYSHOW *3172,647,Card,Entertainment
2026-06-14,PVR CINEMAS *3580,631,Card,Entertainment
2026-02-05,MYNTRA *2417,854,NetBanking,Shopping
2026-08-03,DOMINOS PIZZA *7065,191,NetBanking,Food
2026-07-31,GAS BILL *1723,2479,NetBanking,Bills
2026-08-12,IRCTC TICKET *2831,1512,UPI,Travel
2026-05-19,STARBUCKS *1452,453,Card,Food
2026-03-27,TORRENT POWER *5218,2539,NetBanking,Bills
2025-11-25,UBER TRIP *1365,5858,NetBanking,Travel
2026-01-06,DMART *3461,4320,UPI,Shopping
2026-05-14,FLIPKART *1565,2218,Card,Shopping
2026-07-22,AMAZON PAY *6488,4227,UPI,Shopping
2026-01-07,SWIGGY ORDER *3255,190,Card,Food
2026-06-15,INDIGO AIRLINES *9780,2052,NetBanking,Travel
2026-02-26,METRO RECHARGE *4850,5455,NetBanking,Travel
2025-11-18,HOTSTAR *2168,167,Card,Entertainment
2026-04-04,STARBUCKS *9160,410,Card,Food
2026-08-05,PVR CINEMAS *7800,864,UPI,Entertainment
2025-10-19,GAS BILL *7553,967,NetBanking,Bills
2026-06-23,JIO RECHARGE *8069,1070,NetBanking,Bills
2025-10-09,SPOTIFY *4899,432,UPI,Entertainment
2026-03-10,LIC PREMIUM *1258,456,NetBanking,Bills
2025-12-09,NETFLIX *3672,210,NetBanking,Entertainment
2026-01-18,ZOMATO *9111,604,Card,Food
2025-11-24,DOMINOS PIZZA *2480,499,NetBanking,Food
2026-01-04,CHAI POINT *7019,793,UPI,Food
2026-01-23,DOMINOS PIZZA *2388,149,UPI,Food
2025-11-02,MYNTRA *4285,1785,UPI,Shopping
2026-07-23,CHAI POINT *8338,634,NetBanking,Food
2025-12-21,CHAI POINT *2774,471,UPI,Food
2026-04-15,GAS BILL *2494,1794,NetBanking,Bills
2025-12-17,RELIANCE TRENDS *8090,887,UPI,Shopping
2026-03-31,SPOTIFY *5402,620,Card,Entertainment
2025-12-16,HOTSTAR *1768,586,NetBanking,Entertainment
2026-01-01,MYNTRA *3800,341,NetBanking,Shopping
2025-12-11,AMAZON PAY *7985,1982,Card,Shopping
2025-11-16,LIC PREMIUM *3141,1923,Card,Bills
2026-03-15,ZOMATO *9785,488,NetBanking,Food
2026-09-06,HOTSTAR *7639,335,UPI,Entertainment
2026-06-25,UBER TRIP *3962,2322,UPI,Travel
2026-05-01,RELIANCE TRENDS *7766,1187,NetBanking,Shopping
2026-04-25,AMAZON PAY *6134,1684,NetBanking,Shopping
2026-01-13,OLA CABS *9791,553,Card,Travel
2026-08-03,CHAI POINT *2687,73,UPI,Food
2026-02-16,CHAI POINT *9548,660,Card,Food
2026-05-10,STARBUCKS *7419,439,NetBanking,Food
2025-11-18,SWIGGY ORDER *9904,472,Card,Food
2026-09-19,ZOMATO *4963,101,UPI,Food
2025-10-26,GAS BILL *5129,2461,Card,Bills
2025-10-29,DMART *1656,4012,NetBanking,Shopping
2025-11-22,BOOKMYSHOW *9671,541,Card,Entertainment
2026-01-19,MYNTRA *1760,3645,UPI,Shopping
2025-11-11,INDIGO AIRLINES *5928,2928,NetBanking,Travel
2026-03-30,METRO RECHARGE *7303,4023,Card,Travel
2026-07-23,NETFLIX *6153,306,UPI,Entertainment
2026-05-16,UBER TRIP *5242,4257,UPI,Travel
2026-08-02,METRO RECHARGE *3575,5085,NetBanking,Travel
2026-07-20,DMART *2124,2787,UPI,Shopping
2025-10-01,AMAZON PAY *1818,212,NetBanking,Shopping
2025-11-04,FLIPKART *5726,3797,NetBanking,Shopping
2026-04-28,BOOKMYSHOW *7713,210,UPI,Entertainment
2025-11-02,SPOTIFY *1049,587,NetBanking,Entertainment
2025-12-05,TORRENT POWER *6879,1427,NetBanking,Bills
2025-11-04,METRO RECHARGE *1270,778,UPI,Travel
2025-10-19,TORRENT POWER *1544,2389,Card,Bills
2025-11-14,RELIANCE TRENDS *4688,1924,Card,Shopping
2026-01-07,FLIPKART *4500,574,UPI,Shopping
2026-01-06,JIO RECHARGE *7748,2157,Card,Bills
2026-08-05,NETFLIX *9393,534,UPI,Entertainment
2026-07-02,AIRTEL BROADBAND *1148,1904,Card,Bills
2026-05-08,CHAI POINT *8235,308,Card,Food
2025-12-25,HOTSTAR *4683,659,UPI,Entertainment
2026-08-08,CHAI POINT *3203,426,NetBanking,Food
2026-07-25,ZOMATO *6047,95,Card,Food
2026-03-22,INDIGO AIRLINES *7316,1892,NetBanking,Travel
2026-05-25,FLIPKART *6052,1789,Card,Shopping
2026-09-03,OLA CABS *5370,5323,NetBanking,Travel
2026-06-06,GAS BILL *3933,2979,Card,Bills
2026-06-21,SPOTIFY *4354,125,Card,Entertainment
2026-09-15,RELIANCE TRENDS *7711,1283,Card,Shopping
2026-06-14,AMAZON PAY *5005,2461,UPI,Shopping
2026-07-25,INDIGO AIRLINES *1569,2596,Card,Travel
2025-10-11,PVR CINEMAS *7166,444,Card,Entertainment
2026-02-28,HOTSTAR *7944,841,Card,Entertainment
2026-04-16,OLA CABS *9007,267,UPI,Travel
2025-10-28,TORRENT POWER *5964,190,NetBanking,Bills
2026-07-24,HOTSTAR *4581,813,Card,Entertainment
2026-03-19,SPOTIFY *7929,352,UPI,Entertainment
2026-01-15,SWIGGY ORDER *5232,733,Card,Food
2026-07-31,CHAI POINT *8255,701,UPI,Food
2026-06-03,BOOKMYSHOW *1721,609,UPI,Entertainment
2026-05-17,SWIGGY ORDER *6509,648,UPI,Food
2026-05-01,GAS BILL *1685,2310,UPI,Bills
2025-12-03,IRCTC TICKET *4788,2808,UPI,Travel
2025-12-16,NETFLIX *8833,201,Card,Entertainment
2026-01-24,NETFLIX *2723,155,NetBanking,Entertainment
2025-10-27,INDIGO AIRLINES *1092,2704,UPI,Travel
2026-08-09,JIO RECHARGE *3696,1867,NetBanking,Bills
2026-03-03,FLIPKART *4593,614,UPI,Shopping
2026-08-12,UBER TRIP *9493,2017,Card,Travel
2025-12-22,OLA CABS *7523,911,NetBanking,Travel
2025-10-24,SWIGGY ORDER *9274,756,NetBanking,Food
2026-03-04,MYNTRA *5188,871,Card,Shopping
2026-08-30,AIRTEL BROADBAND *1968,2708,UPI,Bills
2026-03-31,PVR CINEMAS *3438,689,NetBanking,Entertainment
2026-05-25,RELIANCE TRENDS *2312,1485,NetBanking,Shopping
2026-08-20,NETFLIX *7353,839,Card,Entertainment
2026-02-18,ZOMATO *9848,225,UPI,Food
2026-02-16,OLA CABS *1739,1585,UPI,Travel
2026-02-16,FLIPKART *5906,1675,UPI,Shopping
2025-12-25,TORRENT POWER *6021,2250,NetBanking,Bills
2025-11-18,AMAZON PAY *7707,3373,Card,Shopping
2026-04-23,BOOKMYSHOW *7269,845,NetBanking,Entertainment
2026-06-29,NETFLIX *4273,130,NetBanking,Entertainment
2026-02-03,AIRTEL BROADBAND *2829,725,UPI,Bills
2025-11-16,HOTSTAR *3371,783,Card,Entertainment
2026-03-08,DOMINOS PIZZA *7902,127,UPI,Food
2026-08-04,GAS BILL *8166,844,Card,Bills
2026-05-16,INDIGO AIRLINES *8867,5984,NetBanking,Travel
2026-07-19,JIO RECHARGE *6938,246,NetBanking,Bills
2026-08-05,LIC PREMIUM *9646,1858,UPI,Bills
2026-09-11,SWIGGY ORDER *2695,778,UPI,Food
2026-06-12,PVR CINEMAS *8252,556,Card,Entertainment
2026-06-06,OLA CABS *4659,5323,UPI,Travel
2026-04-18,UBER TRIP *3775,3527,NetBanking,Travel
2025-11-22,ZOMATO *8083,559,Card,Food
2026-07-22,IRCTC TICKET *2518,2640,Card,Travel
2026-04-11,CHAI POINT *2678,675,Card,Food
2026-01-07,DOMINOS PIZZA *6448,215,Card,Food
2026-02-24,SPOTIFY *3763,690,NetBanking,Entertainment
2025-10-04,TORRENT POWER *1643,576,Card,Bills
2026-04-22,PVR CINEMAS *1160,638,UPI,Entertainment
2026-08-02,SPOTIFY *3514,358,Card,Entertainment
2026-06-05,OLA CABS *1155,1110,NetBanking,Travel
2025-12-08,FLIPKART *8999,2203,UPI,Shopping
2026-06-28,DOMINOS PIZZA *4171,603,Card,Food
2026-07-10,SWIGGY ORDER *5368,67,Card,Food
2026-07-02,AIRTEL BROADBAND *8269,2882,NetBanking,Bills
2025-12-11,BOOKMYSHOW *2502,864,Card,Entertainment
2026-01-13,ZOMATO *3786,61,NetBanking,Food
2026-01-29,HOTSTAR *5268,102,Card,Entertainment
2026-05-25,UBER TRIP *4343,5348,NetBanking,Travel
2025-12-11,PVR CINEMAS *9650,627,Card,Entertainment
2025-10-26,INDIGO AIRLINES *7553,797,NetBanking,Travel
2026-07-20,FLIPKART *8909,2223,NetBanking,Shopping
2025-12-07,CHAI POINT *1987,573,UPI,Food
2026-04-05,ZOMATO *3268,497,Card,Food
2026-05-30,LIC PREMIUM *5581,1663,Card,Bills
2025-12-16,STARBUCKS *4230,548,NetBanking,Food
2026-07-30,DMART *4841,4548,Card,Shopping
2026-04-02,DOMINOS PIZZA *5152,793,NetBanking,Food
2025-12-20,AIRTEL BROADBAND *1391,1848,NetBanking,Bills
2026-08-24,LIC PREMIUM *7413,2001,Card,Bills
2026-04-24,ZOMATO *4561,553,Card,Food
2025-11-15,BOOKMYSHOW *2563,124,Card,Entertainment
2026-09-07,DMART *8194,878,UPI,Shopping
2026-06-12,MYNTRA *9519,3510,UPI,Shopping
2026-08-25,IRCTC TICKET *9226,4582,UPI,Travel
2026-03-03,DOMINOS PIZZA *5185,393,NetBanking,Food
2025-10-23,OLA CABS *3810,2556,UPI,Travel
2026-09-08,LIC PREMIUM *9627,326,NetBanking,Bills
2026-09-13,PVR CINEMAS *1797,116,NetBanking,Entertainment
2026-07-12,SWIGGY ORDER *2700,658,UPI,Food
2026-09-01,AMAZON PAY *9633,2750,Card,Shopping
2026-07-06,OLA CABS *2388,5490,UPI,Travel
2026-05-24,UBER TRIP *7828,4293,Card,Travel
2026-03-22,MYNTRA *5748,1443,Card,Shopping
2026-02-20,STARBUCKS *8232,135,Card,Food
2026-05-14,JIO RECHARGE *7065,2661,UPI,Bills
2026-08-04,IRCTC TICKET *9864,2600,UPI,Travel
2026-02-12,AIRTEL BROADBAND *8395,2820,NetBanking,Bills
2026-04-14,STARBUCKS *4936,151,UPI,Food
2026-02-07,FLIPKART *5179,4566,Card,Shopping
2026-01-24,CHAI POINT *7589,540,Card,Food
2026-07-08,ZOMATO *5979,551,UPI,Food
2026-05-18,TORRENT POWER *3667,1390,NetBanking,Bills
2025-11-16,MYNTRA *5070,621,NetBanking,Shopping
2025-11-06,BOOKMYSHOW *8856,440,UPI,Entertainment
2026-01-31,LIC PREMIUM *1002,1867,Card,Bills
2026-09-04,HOTSTAR *5759,590,UPI,Entertainment
2026-07-06,METRO RECHARGE *2050,5229,Card,Travel
2026-02-05,FLIPKART *1564,3458,Card,Shopping
2026-05-13,SWIGGY ORDER *4935,206,NetBanking,Food
2025-10-17,BOOKMYSHOW *3120,112,UPI,Entertainment
2025-11-11,FLIPKART *3657,4722,NetBanking,Shopping
2026-08-05,STARBUCKS *4718,83,Card,Food
2026-08-28,SPOTIFY *5791,125,Card,Entertainment
2026-09-09,LIC PREMIUM *7320,434,NetBanking,Bills
2026-08-12,TORRENT POWER *3494,539,UPI,Bills
2026-03-07,PVR CINEMAS *7265,139,NetBanking,Entertainment
2025-12-23,GAS BILL *1978,880,UPI,Bills
2025-11-15,ZOMATO *3114,256,Card,Food
2026-03-13,METRO RECHARGE *5471,4788,UPI,Travel
2025-11-10,AMAZON PAY *5017,2459,UPI,Shopping
2026-09-01,UBER TRIP *7282,286,Card,Travel
2026-01-03,DOMINOS PIZZA *2541,273,Card,Food
2026-08-04,FLIPKART *7996,3748,Card,Shopping
2026-05-06,DMART *8783,3205,Card,Shopping
2026-02-08,STARBUCKS *9101,271,Card,Food
2026-09-04,METRO RECHARGE *6378,2703,NetBanking,Travel
2026-01-10,DOMINOS PIZZA *8010,681,Card,Food
2026-01-28,NETFLIX *4198,353,NetBanking,Entertainment
2026-04-04,METRO RECHARGE *4614,1282,Card,Travel
2025-12-20,HOTSTAR *5637,683,Card,Entertainment
2026-05-14,BOOKMYSHOW *2868,713,Card,Entertainment
2026-06-04,LIC PREMIUM *4687,746,Card,Bills
2025-10-31,METRO RECHARGE *7702,3757,NetBanking,Travel
2026-02-11,ZOMATO *5063,795,UPI,Food
2026-01-04,HOTSTAR *6710,615,Card,Entertainment
2026-03-05,METRO RECHARGE *4831,1281,Card,Travel
2025-10-29,TORRENT POWER *2384,457,NetBanking,Bills
2026-09-05,SWIGGY ORDER *5857,413,NetBanking,Food
2026-06-10,NETFLIX *3303,864,UPI,Entertainment
2026-02-27,STARBUCKS *2434,197,Card,Food
2026-02-22,OLA CABS *8705,3759,NetBanking,Travel
2026-07-14,MYNTRA *6085,4894,NetBanking,Shopping
2026-03-26,HOTSTAR *7772,702,UPI,Entertainment
2026-06-01,FLIPKART *1075,4526,Card,Shopping
2026-03-27,STARBUCKS *9106,287,UPI,Food
2026-01-23,SPOTIFY *8714,742,UPI,Entertainment
2026-08-24,OLA CABS *6611,1280,Card,Travel
2026-03-25,NETFLIX *1529,469,UPI,Entertainment
2025-11-11,MYNTRA *6567,2235,Card,Shopping
2026-02-06,CHAI POINT *6110,579,UPI,Food
2026-03-09,STARBUCKS *4258,545,NetBanking,Food
2026-04-04,SPOTIFY *2591,138,Card,Entertainment
2026-04-16,HOTSTAR *6790,178,NetBanking,Entertainment
2026-04-04,AMAZON PAY *1574,3461,UPI,Shopping
2026-04-20,JIO RECHARGE *3679,2256,Card,Bills
2026-08-04,DMART *4718,221,UPI,Shopping
2026-06-07,DMART *8727,495,Card,Shopping
2026-07-29,IRCTC TICKET *8357,2540,Card,Travel
2025-11-18,ZOMATO *2827,441,Card,Food
2026-01-02,RELIANCE TRENDS *2647,3183,NetBanking,Shopping
2025-12-12,NETFLIX *4320,609,NetBanking,Entertainment
2026-03-13,DOMINOS PIZZA *3105,328,Card,Food
2026-02-28,SWIGGY ORDER *7726,574,Card,Food
2026-05-18,TORRENT POWER *1270,864,NetBanking,Bills
2026-05-13,STARBUCKS *1663,433,UPI,Food
2026-09-08,STARBUCKS *2849,365,Card,Food
2026-09-21,UBER TRIP *7047,3879,NetBanking,Travel
2026-07-30,SWIGGY ORDER *5107,377,NetBanking,Food
2025-10-03,TORRENT POWER *7469,864,UPI,Bills
2026-01-19,DMART *4365,788,UPI,Shopping
2026-09-11,GAS BILL *2986,1684,NetBanking,Bills
2025-10-08,MYNTRA *5086,2369,NetBanking,Shopping
2026-05-10,LIC PREMIUM *4329,862,NetBanking,Bills
2025-10-20,STARBUCKS *6774,435,UPI,Food
2025-12-09,ZOMATO *7639,556,UPI,Food
2025-11-13,INDIGO AIRLINES *2816,292,NetBanking,Travel
2026-06-30,ZOMATO *4579,128,Card,Food
2025-10-08,SWIGGY ORDER *2151,432,Card,Food
2026-05-30,TORRENT POWER *1482,1399,UPI,Bills
